epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5757.86,0.79241,0.61516,1.10007,0.90263,0.8859,0.93793,0.75161,0.79868,0.52814,1.07704,0.002575,0.002575,0.002575
77,5832.05,0.78511,0.60614,1.09754,0.90631,0.88456,0.939,0.75314,0.79813,0.52755,1.07707,0.002476,0.002476,0.002476
78,5906,0.78606,0.60585,1.09549,0.90803,0.88766,0.9387,0.75313,0.79671,0.52713,1.07608,0.002377,0.002377,0.002377
79,5979.98,0.77297,0.59663,1.09496,0.90571,0.89191,0.93892,0.75263,0.79596,0.52701,1.0761,0.002278,0.002278,0.002278
80,6053.98,0.77692,0.59916,1.09188,0.90348,0.89274,0.93904,0.75395,0.79564,0.52615,1.07622,0.002179,0.002179,0.002179
81,6128.09,0.78065,0.59727,1.09547,0.90453,0.89261,0.93925,0.75473,0.79433,0.52521,1.07581,0.00208,0.00208,0.00208
82,6202.12,0.77409,0.59198,1.08965,0.90313,0.89035,0.93947,0.75525,0.7933,0.52422,1.07499,0.001981,0.001981,0.001981
83,6275.84,0.76755,0.58653,1.08962,0.90316,0.88903,0.93981,0.75621,0.79225,0.52369,1.07485,0.001882,0.001882,0.001882
84,6349.91,0.76124,0.5786,1.08196,0.897,0.89663,0.93998,0.75582,0.79181,0.52333,1.0746,0.001783,0.001783,0.001783
85,6423.83,0.76712,0.58174,1.08667,0.89719,0.89517,0.9401,0.75682,0.79096,0.52316,1.07414,0.001684,0.001684,0.001684
86,6497.85,0.7637,0.5757,1.0852,0.89887,0.892,0.94043,0.75752,0.79054,0.5223,1.07402,0.001585,0.001585,0.001585
87,6571.59,0.75824,0.56956,1.08538,0.88564,0.90704,0.94075,0.75824,0.78999,0.52176,1.07347,0.001486,0.001486,0.001486
88,6645.3,0.74831,0.56756,1.07575,0.88614,0.90676,0.94103,0.7591,0.78982,0.52125,1.07343,0.001387,0.001387,0.001387
89,6719.14,0.7511,0.56726,1.08014,0.88302,0.91304,0.94111,0.75945,0.78956,0.52101,1.0736,0.001288,0.001288,0.001288
90,6793.09,0.74812,0.56442,1.07874,0.88377,0.91172,0.94136,0.75927,0.78927,0.52042,1.07357,0.001189,0.001189,0.001189
91,6894.73,0.70936,0.46907,1.05601,0.8927,0.90399,0.94132,0.76003,0.78832,0.51977,1.073,0.00109,0.00109,0.00109
92,6968.39,0.69909,0.45765,1.05103,0.89362,0.90446,0.94162,0.76011,0.78784,0.51885,1.07287,0.000991,0.000991,0.000991
93,7042.18,0.69886,0.45527,1.04762,0.89358,0.9054,0.94199,0.76061,0.78717,0.51835,1.07246,0.000892,0.000892,0.000892
94,7115.92,0.68978,0.44675,1.04526,0.89559,0.90488,0.94222,0.76072,0.7865,0.51769,1.07223,0.000793,0.000793,0.000793
95,7189.88,0.68453,0.4392,1.04016,0.90262,0.89916,0.94251,0.76106,0.78604,0.51723,1.0722,0.000694,0.000694,0.000694
96,7263.87,0.6818,0.43728,1.04215,0.90829,0.89107,0.94266,0.7616,0.78579,0.5165,1.07246,0.000595,0.000595,0.000595
97,7337.76,0.67287,0.43295,1.03655,0.90152,0.90062,0.94276,0.76226,0.78547,0.5161,1.07279,0.000496,0.000496,0.000496
98,7412.41,0.67344,0.43124,1.03725,0.90082,0.90095,0.94268,0.7629,0.78534,0.51583,1.07273,0.000397,0.000397,0.000397
99,7486.34,0.66736,0.4265,1.03098,0.9011,0.90124,0.94291,0.76318,0.78473,0.51544,1.07246,0.000298,0.000298,0.000298
100,7559.98,0.66711,0.42377,1.03088,0.90191,0.90075,0.94298,0.76375,0.78432,0.51508,1.07239,0.000199,0.000199,0.000199
